[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #95: growth=1.973, wacc=0.500 → error=29.17%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #96: growth=1.859, wacc=0.500 → error=29.87%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #97: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #98: growth=1.270, wacc=0.500 → error=33.16%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #99: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #100: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #101: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #102: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #103: growth=1.903, wacc=0.500 → error=29.60%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #104: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #105: growth=1.964, wacc=0.500 → error=29.23%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #106: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #107: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #108: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #109: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #110: growth=0.401, wacc=0.500 → error=37.26%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #111: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #112: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #113: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #114: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #115: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #116: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #117: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #118: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #119: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #120: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #121: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #122: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #123: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #124: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Eval #125: growth=2.000, wacc=0.500 → error=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Entrenamiento completado: Error final=29.01%
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Parámetros validados: growth_adj=2.000, wacc_adj=0.500
[2025-11-14 03:45:50] INFO     | __main__ | [AUTO_LOOP] NVDA - Ronda 9688 completada:
[2025-11-14 03:45:50] INFO     | __main__ |   Error: 29.01%
[2025-11-14 03:45:50] INFO     | __main__ |   Mejora: -16.81% (-137.9% relativo)
[2025-11-14 03:45:50] WARNING  | __main__ | [AUTO_LOOP] NVDA - ⚠️ Esta ronda empeoró el error (29.01% > 12.19%), manteniendo mejor resultado anterior
[2025-11-14 03:45:50] INFO     | __main__ | [AUTO_LOOP] NVDA - ⚠️ Sin mejora (9688 rondas consecutivas)
[2025-11-14 03:45:50] INFO     | __main__ | 
[AUTO_LOOP] NVDA - Ronda 9689/∞
[2025-11-14 03:45:50] INFO     | __main__ | [AUTO_LOOP] NVDA - Mejor error hasta ahora: 12.19% (objetivo: 10.0%)
[2025-11-14 03:45:50] INFO     | __main__ | [AUTO_LOOP] NVDA - 🔄 Sin mejoras por 9688 rondas, aumentando iteraciones a 750 y cambiando estrategia
[2025-11-14 03:45:50] INFO     | __main__ | ============================================================
[2025-11-14 03:45:50] INFO     | __main__ | ENTRENAMIENTO INDIVIDUAL: NVDA
[2025-11-14 03:45:50] INFO     | __main__ | Objetivo: Error < 10.0%
[2025-11-14 03:45:50] INFO     | __main__ | ============================================================
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Bounds de optimización: growth=[0.3, 2.0], wacc=[0.5, 1.5]
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Iniciando optimización individual...
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Configuración: popsize=20, maxiter=750, strategy='best1bin'
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] Valor objetivo Alpha Spread: $156.86
[2025-11-14 03:45:50] INFO     | __main__ | [NVDA] 🔄 Error aumentó en ronda anterior, explorando alrededor del mejor punto: growth=2.500, wacc=0.400
